Date,timestamp,open,high,low,close,volume,Signal,quote_av,trades,tb_base_av,tb_quote_av
2023/3/8,2023-03-08 09:00:00+00:00,21989.14,22030,21974.5,22012.75,8151.38201,51652.23558,179325195.8,224677,4086.42799,89902021.53
2023/3/8,2023-03-08 10:00:00+00:00,22012.75,22144.2,22001,22111.25,13368.51293,51303.93458,295062509.3,333452,6742.96715,148828262.9
2023/3/8,2023-03-08 11:00:00+00:00,22111.25,22134.85,22055.25,22072.45,9485.70357,52104.2899,209515777.7,260509,4810.58871,106258012.2
2023/3/8,2023-03-08 12:00:00+00:00,22071.98,22107.82,21993.61,22014.17,10928.25251,54067.93659,240945599.3,311558,5463.2604,120461433.3
2023/3/8,2023-03-08 13:00:00+00:00,22014.17,22062,21940,21989.16,16367.90865,55712.9702,360213626.4,409808,8071.05322,177624648.9
2023/3/8,2023-03-08 14:00:00+00:00,21989.16,22030.52,21922.22,21974.73,19735.20056,55978.3248,433865820.7,477524,9924.02519,218185255.6
2023/3/8,2023-03-08 15:00:00+00:00,21974.73,22229.04,21876.66,22140.8,34124.5517,56267.52058,753829101.6,739747,17080.4094,377334214.6
2023/3/8,2023-03-08 16:00:00+00:00,22139.97,22218.3,22058.3,22140.61,15478.76546,56107.32097,342579270.4,395460,7679.4727,169966294.8
2023/3/8,2023-03-08 17:00:00+00:00,22140.61,22150,22022.52,22034.48,10620.41683,56637.91775,234593008.9,291715,5139.54462,113529563.4
2023/3/8,2023-03-08 18:00:00+00:00,22034.48,22063.03,21944.25,22022.75,12174.2621,56540.97409,267878662.9,354394,6115.72913,134576604.8
2023/3/8,2023-03-08 19:00:00+00:00,22021.97,22061.6,21987.26,21997.25,9051.11834,54405.35127,199310785.5,262767,4584.31645,100953486.8
2023/3/8,2023-03-08 20:00:00+00:00,21997.25,22133.75,21969.56,22101.26,11899.29454,54432.44036,262404122.1,318490,6134.40731,135282668
2023/3/8,2023-03-08 21:00:00+00:00,22099.95,22113.57,21907.09,22009.75,10598.73461,54765.55779,233420816.4,296172,5168.55461,113832821.7
2023/3/8,2023-03-08 22:00:00+00:00,22010.37,22016.16,21660,21802.16,11805.35357,51747.01573,258636534.5,342587,5402.23211,118380776.9
2023/3/8,2023-03-08 23:00:00+00:00,21800.47,21838.12,21580,21705.44,20396.41321,52044.6793,442963291.2,488223,10209.06781,221725281.6
2023/3/9,2023-03-09 00:00:00+00:00,21704.37,21765.15,21675.4,21719.42,10551.56996,49878.27907,229180454.8,309957,5314.11381,115423910.9
2023/3/9,2023-03-09 01:00:00+00:00,21720.15,21762.38,21629.43,21702.94,10219.11258,48639.72912,221890633.5,292187,5197.93963,112868092.6
2023/3/9,2023-03-09 02:00:00+00:00,21703.55,21793.65,21700.44,21769.65,7921.66747,48548.84286,172329011.6,245249,4160.16837,90498199.04
2023/3/9,2023-03-09 03:00:00+00:00,21769.14,21806.68,21744.46,21769.66,6739.30785,48088.4492,146717793.1,220772,3375.62577,73489886.02
2023/3/9,2023-03-09 04:00:00+00:00,21770.37,21774.69,21720.11,21740.43,5953.71527,47920.9325,129459483.1,189976,2880.9927,62645353.41
2023/3/9,2023-03-09 05:00:00+00:00,21740.39,21761.33,21728,21738.93,5857.40431,47971.29276,127348247.3,189690,2940.49963,63931636.77
2023/3/9,2023-03-09 06:00:00+00:00,21738.93,21746.04,21683.49,21741.8,7890.8559,48226.41526,171418519.9,223497,3828.99162,83181381.31
2023/3/9,2023-03-09 07:00:00+00:00,21741.25,21742.39,21665.67,21688.54,8160.18877,48638.16199,177118164.2,236115,3890.27189,84438330.93
2023/3/9,2023-03-09 08:00:00+00:00,21688.54,21698.38,21602,21681.52,15335.28307,49016.77578,332146470.1,370386,7556.74181,163675739.8
2023/3/9,2023-03-09 09:00:00+00:00,21682.31,21700,21585,21641.58,12338.10576,48129.84709,267136305.7,305112,6016.85416,130277064.1
2023/3/9,2023-03-09 10:00:00+00:00,21641.07,21683.68,21527,21648.43,14926.28036,48156.28808,322850186.6,329623,7456.60487,161292655.3
2023/3/9,2023-03-09 11:00:00+00:00,21646.98,21674.11,21620,21669.38,9697.99101,48729.06702,209937721.9,255985,4833.78765,104641876.3
2023/3/9,2023-03-09 12:00:00+00:00,21669.38,21674.98,21600.96,21611.34,9381.03199,47933.45658,202927726.7,279134,4606.56068,99649474.77
2023/3/9,2023-03-09 13:00:00+00:00,21611.89,21730.77,21552.84,21703.76,21493.941,48846.55993,465205572.9,502630,11100.52664,240270544.6
2023/3/9,2023-03-09 14:00:00+00:00,21703.76,21834.99,21686.72,21722.89,23399.51181,48518.06644,508963423.9,548851,11801.96877,256711216.5
2023/3/9,2023-03-09 15:00:00+00:00,21722.1,21807.66,21633.95,21648.57,17586.60391,50340.92341,381934328.7,439891,8799.13447,191105178.8
2023/3/9,2023-03-09 16:00:00+00:00,21647.42,21675.22,21416.79,21478.85,28547.08915,49876.37655,615576656.8,601308,13529.44694,291787174.1
2023/3/9,2023-03-09 17:00:00+00:00,21479.31,21524.96,21400,21469.46,20661.68843,47045.7921,443605516.5,473932,10416.56786,223657235.2
2023/3/9,2023-03-09 18:00:00+00:00,21470.47,21491.86,20967,21012.89,40265.11837,44355.19624,853295059.1,781072,19122.44124,405266027.7
2023/3/9,2023-03-09 19:00:00+00:00,21013.32,21020.64,20766.2,20854.93,37836.59279,48137.56529,790664131.2,723098,18704.42968,390883841.2
2023/3/9,2023-03-09 20:00:00+00:00,20856.3,20867.3,20042.72,20116.66,64418.09962,48106.09404,1323797343,1095193,30169.00055,620160064.6
2023/3/9,2023-03-09 21:00:00+00:00,20119.83,20416.04,20112.18,20213.61,36841.57762,53973.92992,747366857.3,738279,18549.05273,376302573.6
2023/3/9,2023-03-09 22:00:00+00:00,20213.61,20494.96,20213.01,20343.58,14779.28498,49595.47761,300702926.9,394252,7443.90513,151451810.4
2023/3/9,2023-03-09 23:00:00+00:00,20343.58,20379.58,20274.62,20362.22,12856.26386,45311.17109,261456230,330513,6204.96961,126194254.2
2023/3/10,2023-03-10 00:00:00+00:00,20362.21,20367.78,20022,20120.27,31664.01722,43507.75676,638160773.5,628731,15336.68414,309076032.2
2023/3/10,2023-03-10 01:00:00+00:00,20121.38,20159.5,19776.22,20111.01,51259.99284,43914.32746,1025094511,839940,25644.45973,512914486.8
2023/3/10,2023-03-10 02:00:00+00:00,20111.87,20141.72,20024.95,20040.44,15373.3643,46330.05358,308717341.4,355847,7830.31774,157247376.7
2023/3/10,2023-03-10 03:00:00+00:00,20040.44,20134.5,19977.48,20052.07,12847.04823,47152.67954,257823636.8,301993,6449.36266,129439196.7
2023/3/10,2023-03-10 04:00:00+00:00,20052.07,20065,19833.01,19876.69,21600.53689,47656.26792,430836290.8,435304,10635.90911,212128069.4
2023/3/10,2023-03-10 05:00:00+00:00,19876.15,20046,19854.09,19990.1,16038.64182,50454.32558,320236297.1,356217,8042.51213,160577273.1
2023/3/10,2023-03-10 06:00:00+00:00,19990.1,20024.76,19839.62,19873.46,17818.24696,49418.80243,355217167.3,380025,8734.7427,174142606.1
2023/3/10,2023-03-10 07:00:00+00:00,19873.46,20039.19,19776.55,19953.58,28538.44321,51100.14396,568376586.9,537120,14419.58395,287215662.2
2023/3/10,2023-03-10 08:00:00+00:00,19953.58,19977,19875.83,19959.12,15178.47787,52560.79348,302413466.3,370288,7555.68163,150541361.1
2023/3/10,2023-03-10 09:00:00+00:00,19958.54,19969.14,19831.4,19853.12,17552.14244,52605.95388,349216285.5,412874,8470.16008,168523920.1
2023/3/10,2023-03-10 10:00:00+00:00,19853.12,19924.04,19549.09,19621.66,38988.67853,52820.47418,770475160,666487,18788.13077,371323467.6
2023/3/10,2023-03-10 11:00:00+00:00,19622.77,19802.24,19569.47,19760.78,25258.98821,58415.86366,496984359.4,465215,12830.8861,252475252.2
2023/3/10,2023-03-10 12:00:00+00:00,19761.12,19998.99,19730.16,19934.75,24926.96144,57720.20785,494839083.8,457677,12656.00131,251256168.4
2023/3/10,2023-03-10 13:00:00+00:00,19933.31,20321.19,19884.75,20184.92,43471.46204,52690.976,873135776.8,717109,21872.868,439321021.1
2023/3/10,2023-03-10 14:00:00+00:00,20184.9,20191.4,19657.11,19819.8,47271.4509,48511.07406,941643930.6,763464,23348.47474,465115988.4
2023/3/10,2023-03-10 15:00:00+00:00,19819.8,20037.75,19766,20004.96,36948.61278,51642.71819,735292775.7,610109,18777.73823,373702012.5
2023/3/10,2023-03-10 16:00:00+00:00,20004.96,20307.73,19928.83,20016.36,36709.182,49768.90665,737481498.9,651876,18733.13791,376423376.7
2023/3/10,2023-03-10 17:00:00+00:00,20015.11,20082.66,19830.74,19930.48,31007.14935,51668.82131,618375483.3,597819,15401.30976,307156120.4
2023/3/10,2023-03-10 18:00:00+00:00,19928.57,20005.21,19824.06,19848.52,20359.44087,48348.91658,405454036.2,460534,10006.72385,199292062.2
2023/3/10,2023-03-10 19:00:00+00:00,19848.5,20071.4,19843.4,20024.32,21587.99302,48738.85069,430768658.3,477117,11018.41053,219865103.3
2023/3/10,2023-03-10 20:00:00+00:00,20022.72,20066.72,19938.07,19969.31,15890.12244,48653.93568,317777020.4,405307,7845.02006,156893219
2023/3/10,2023-03-10 21:00:00+00:00,19969.31,20129.1,19850,20076.64,16487.9129,48186.33486,328939798,423612,8124.08473,162090555.8
2023/3/10,2023-03-10 22:00:00+00:00,20076.64,20167.79,20021.64,20097.23,14562.97988,48035.82872,292736893.2,436048,7104.13501,142808342.5
2023/3/10,2023-03-10 23:00:00+00:00,20097.23,20240.4,20084.21,20150.69,17114.62096,50052.70047,344995957.5,355548,8529.47506,171946449.2
2023/3/11,2023-03-11 00:00:00+00:00,20150.69,20301.79,20135.05,20216.03,22331.05908,49870.19467,451537148.7,466363,10916.91784,220746550.5
2023/3/11,2023-03-11 01:00:00+00:00,20215.53,20686.51,20215.5,20586.75,36421.82903,49205.40838,744754204.3,712284,18323.79886,374658838.4
2023/3/11,2023-03-11 02:00:00+00:00,20586.75,20640.11,20374.07,20492.43,21108.18651,45387.51957,432454911.1,579453,10593.47781,217037485.3
2023/3/11,2023-03-11 03:00:00+00:00,20491.36,20502.75,20315.01,20393.88,18728.32545,46706.85988,381829119.9,479424,9600.79691,195735476.3
2023/3/11,2023-03-11 04:00:00+00:00,20393.89,20414.81,20271.23,20339.7,16413.50707,47653.37775,333801299,415543,8026.57752,163236434.1
2023/3/11,2023-03-11 05:00:00+00:00,20339.69,20435.43,20307.45,20391.39,11862.67058,48670.77206,241807184.9,337220,5986.61247,122034333.7
2023/3/11,2023-03-11 06:00:00+00:00,20391.4,20408.46,20200,20284.61,16272.52221,47038.54938,330227988.5,412809,7841.30215,159128412.3
2023/3/11,2023-03-11 07:00:00+00:00,20283.9,20320.77,19823.82,19850.81,31787.51955,47725.47644,637732669.3,656622,15543.80922,311846278.7
2023/3/11,2023-03-11 08:00:00+00:00,19850.81,20208.36,19765.03,20071.82,31430.07237,47033.7039,628138731.4,635967,15672.35894,313212671.6
2023/3/11,2023-03-11 09:00:00+00:00,20071.82,20147.15,19955.43,20092.78,20800.33105,47590.51616,417334768.4,473305,10194.44873,204550483.3
2023/3/11,2023-03-11 10:00:00+00:00,20092.78,20160.15,19997.5,20036.75,14152.26404,48399.62766,284191824.4,368994,6902.78305,138617936.2
